,alcohol,malicacid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,0D280_0D315_of_diluted_wines,proline,class
0,2.0,1.0,2.0,2.0,7.0,3.0,5.0,1.0,4.0,4.0,2.0,5.0,8.0,1
1,1.0,1.0,2.0,0.0,3.0,3.0,5.0,1.0,1.0,3.0,2.0,4.0,8.0,1
2,1.0,1.0,3.0,4.0,4.0,3.0,6.0,1.0,5.0,4.0,2.0,4.0,9.0,1
3,2.0,1.0,3.0,3.0,5.0,5.0,6.0,1.0,3.0,6.0,1.0,4.0,12.0,1
4,1.0,2.0,4.0,5.0,6.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,1
5,2.0,1.0,2.0,2.0,5.0,4.0,6.0,2.0,3.0,5.0,2.0,3.0,12.0,1
6,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,5.0,10.0,1
7,2.0,1.0,3.0,3.0,6.0,3.0,4.0,2.0,1.0,3.0,2.0,5.0,10.0,1
8,2.0,1.0,2.0,1.0,3.0,3.0,5.0,1.0,3.0,4.0,2.0,3.0,8.0,1
9,2.0,0.0,2.0,2.0,3.0,4.0,5.0,1.0,3.0,6.0,2.0,5.0,8.0,1
10,2.0,1.0,2.0,3.0,4.0,4.0,6.0,1.0,4.0,4.0,3.0,4.0,13.0,1
11,2.0,0.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,10.0,1
12,2.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,11.0,1
13,2.0,1.0,2.0,0.0,2.0,4.0,7.0,3.0,5.0,4.0,3.0,3.0,9.0,1
14,2.0,1.0,2.0,0.0,4.0,4.0,6.0,1.0,5.0,6.0,3.0,3.0,13.0,1
15,2.0,1.0,3.0,3.0,5.0,3.0,5.0,1.0,2.0,6.0,3.0,3.0,11.0,1
16,2.0,1.0,3.0,4.0,6.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,10.0,1
17,2.0,0.0,3.0,4.0,5.0,4.0,6.0,3.0,2.0,5.0,3.0,2.0,9.0,1
18,2.0,1.0,2.0,3.0,4.0,4.0,7.0,2.0,3.0,7.0,3.0,3.0,14.0,1
19,2.0,2.0,3.0,2.0,6.0,3.0,5.0,0.0,2.0,3.0,2.0,4.0,6.0,1
